File List			Date:   8.11.1918    Time:  03:38

File Name: D:\ESR-DATA\PRAKTI~1\WISE1819\TEAM3~1\TAG1~1\sp01.spc

 Data Point  Value[G]     Intensity
     690    3369.7243    -1.6000e+001
     691    3369.7732    -2.5000e+001
     692    3369.8221    -2.2500e+001
     693    3369.8710    -6.5000e+000
     694    3369.9198     2.5000e+000
     695    3369.9687    -4.0000e+000
     696    3370.0176     1.0000e+000
     697    3370.0665     1.7000e+001
     698    3370.1153     1.9000e+001
     699    3370.1642     3.0000e+001
     700    3370.2131     8.0000e+000
     701    3370.2620     1.3000e+001
     702    3370.3109     2.3000e+001
     703    3370.3597     2.8000e+001
     704    3370.4086     1.0000e+001
     705    3370.4575     1.0000e+001
     706    3370.5064     2.0500e+001
     707    3370.5552     6.5000e+000
     708    3370.6041     1.3500e+001
     709    3370.6530     6.0000e+000
     710    3370.7019    -9.0000e+000
     711    3370.7507     9.0000e+000
     712    3370.7996    -7.0000e+000
     713    3370.8485    -1.7000e+001
     714    3370.8974    -8.0000e+000
     715    3370.9462    -1.1000e+001
     716    3370.9951    -1.0000e+001
     717    3371.0440     0.0000e+000
     718    3371.0929    -4.0000e+000
     719    3371.1417    -1.0000e+001
     720    3371.1906     1.4500e+001
     721    3371.2395    -1.5000e+000
     722    3371.2884     1.5000e+000
     723    3371.3372    -1.9000e+001
     724    3371.3861    -1.5500e+001
     725    3371.4350    -1.0000e+000
     726    3371.4839    -9.5000e+000
     727    3371.5327     1.2000e+001
     728    3371.5816     2.0000e+000
     729    3371.6305    -5.0000e-001
     730    3371.6794    -1.7500e+001
     731    3371.7283    -9.5000e+000
     732    3371.7771    -1.5000e+000
     733    3371.8260    -6.0000e+000
     734    3371.8749    -1.3500e+001
     735    3371.9238    -1.6500e+001
     736    3371.9726     1.2500e+001
     737    3372.0215     8.0000e+000
     738    3372.0704    -4.5000e+000
     739    3372.1193     1.5000e+000
     740    3372.1681     1.6500e+001
     741    3372.2170     1.7500e+001
     742    3372.2659     1.7000e+001
     743    3372.3148     1.0500e+001
