,index,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
832,959122,1103093924,2016-06-01T00:00:00,1731.0,,,CA,,,MAKE,,BR,1616 YOSEMITE DR,00610,56.0,8056E4,RED ZONE,93.0,6500472.7,1870831.9
833,959148,1107998975,2016-05-28T00:00:00,355.0,,,CA,201601.0,,CHEV,PA,BR,VISTA DEL MAR/IMPERI,14FB1,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
834,959287,1110008793,2016-06-01T00:00:00,1627.0,,,CA,201607.0,,,TR,BR,1427 LA BREA AVE,00493,54.0,8070,PARK IN GRID LOCK ZN,163.0,99999.0,99999.0
835,959292,1110066495,2016-05-27T00:00:00,1630.0,,,CA,201604.0,,HOND,PA,BR,1423 S NORTON,7A73,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
836,959319,1110242070,2016-05-04T00:00:00,1055.0,,,CA,,,,TR,BR,6255 ARGYLE/SUNSET,CM86,1.0,8049,WRG SD/NOT PRL,63.0,99999.0,99999.0
837,959340,1110282655,2016-05-25T00:00:00,715.0,,,CA,201401.0,,GMC,PA,BR,COLBALT/SAN FERNANDO,MQ16,1.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
838,959477,1110912740,2016-06-01T00:00:00,1014.0,,,CA,201610.0,,HOND,VN,BR,10751 WOODBINE ST,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,6436288.0,1831873.9
839,959558,1114013950,2016-06-01T00:00:00,2220.0,,,OR,201511.0,,PLYM,VN,BR,1617 N COSMO,00403,54.0,8069B,NO PARKING,73.0,6462122.6,1858964.5
840,959723,1116290490,2016-06-01T00:00:00,1110.0,,,MN,201603.0,,NISS,PA,BR,3671 KELTON AV,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
841,968763,1106392372,2016-05-26T00:00:00,1205.0,,,CA,201507.0,,CHEV,RV,BR,1948 MARIANA ST,4ZL98,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
842,968845,1109927055,2016-05-30T00:00:00,950.0,,,CA,201604.0,,JEEP,PA,BR,DOCKWEILER BCH LT #1,01491,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
843,968852,1109985214,2016-05-25T00:00:00,2245.0,,,CA,201601.0,,MERZ,PA,BR,320 S GRAND AV,1A61,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
844,969006,1112179681,2016-05-31T00:00:00,25.0,,,CA,200805.0,,FRWS,RV,BR,9300 S LA CIENEGA BL,3A101,2.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
845,969008,1112179703,2016-05-31T00:00:00,115.0,,,CA,201604.0,,SWIN,RV,BR,5200 W 93RD ST,3A101,2.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
846,969009,1112179714,2016-05-31T00:00:00,530.0,,,CA,200609.0,,SWIN,RV,BR,5201 W 97TH PL,3A101,2.0,80694,PK OVERSIZED 1ST,73.0,99999.0,99999.0
847,969030,1112196411,2016-05-24T00:00:00,806.0,,,CA,201606.0,,TOYO,VN,BR,600 WORLD WAY U/L,2C304,2.0,8939,WHITE CURB,58.0,6439825.1,1802687.1
848,969127,1112223560,2016-05-19T00:00:00,1522.0,,,CA,201611.0,,TOYO,PA,BR,5932 W CENTURY BLVD,00024,2.0,80714,PRIVATE PROPERTY,68.0,6444600.5,1802795.1
849,969137,1112224120,2016-06-01T00:00:00,1800.0,,,CA,,,PONT,PA,BR,101 WORLD WAY,2B2,2.0,5200A,DSPLYPLATE A,25.0,6439737.8,1802687.4
850,969140,1112224153,2016-06-02T00:00:00,1720.0,,,NC,201501.0,,MERC,VN,BR,6221 W 96TH ST,2B2,2.0,4000A1,NO EVIDENCE OF REG,50.0,6442059.6,1803997.6
851,969144,1112225310,2016-05-31T00:00:00,745.0,,,CA,201507.0,,CHEV,RV,BR,95TH ST/ISIS,1A102,2.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
852,969262,1115715322,2016-05-24T00:00:00,55.0,,,CA,201604.0,,MERZ,PA,BR,1117 S BEDFORD ST,8A59,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
853,977360,1103976156,2016-05-30T00:00:00,350.0,,,CA,201611.0,,BUIC,PA,BR,S/O PINAFORE/GIBRALT,3SL41,1.0,8606,PK OTSD PSTD AR,58.0,99999.0,99999.0
854,977433,1107817270,2016-05-30T00:00:00,1415.0,,,CA,201510.0,,OLDS,PA,BR,OLYMPIC BL/CALZONA,11TL2,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
855,977439,1108315530,2016-05-30T00:00:00,835.0,,,CA,201512.0,,GMC,TR,BR,GILMORE/RHODES,15A3,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
856,977487,1109068505,2016-05-27T00:00:00,915.0,,,CA,201602.0,,CHEV,VN,BR,55TH ST/AVALON,24MQ7,1.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0
857,977519,1109269571,2016-05-29T00:00:00,55.0,,,CA,201612.0,,HOND,PA,BR,MULHOLLAND 7080,00622,1.0,8069A,NO STOPPING/STANDING,93.0,99999.0,99999.0
858,977543,1110008874,2016-06-05T00:00:00,1515.0,,,CA,201611.0,,TOYO,PA,BR,3115 BEACHWOOD,00481,54.0,8058L,PREF PARKING,68.0,99999.0,99999.0
859,977589,1110418820,2016-05-06T00:00:00,1900.0,,,CA,201302.0,,CHEV,PA,BR,BURBANK/W/O ETIWANDA,10X88,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
860,977765,1112753552,2016-05-28T00:00:00,210.0,,,CA,201408.0,,FORD,TR,BR,AMESTOY N/O SHERMAN,,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
861,977885,1114135632,2016-06-03T00:00:00,1013.0,,,CA,201703.0,,FORD,TR,BR,5500 FERNWOOD AVE,00443,54.0,8069BS,NO PARK/STREET CLEAN,73.0,6468049.4,1857383.1
862,985888,1103929886,2016-05-29T00:00:00,1640.0,,,CA,201705.0,,HOND,VN,BR,BROADWAY S/O 89TH ST,25MQ6,1.0,8056E4,RED ZONE,93.0,99999.0,99999.0
863,985937,1109340116,2016-05-26T00:00:00,1730.0,,,CA,201612.0,,TOYO,PA,BR,FIGUEROA ST/48TH ST,25QL8,1.0,8070,PARK IN GRID LOCK ZN,163.0,99999.0,99999.0
864,986021,1112234104,2016-06-04T00:00:00,1554.0,,,CA,201609.0,,TOYO,PA,BR,96TH ST/JENNY AVE/C,2A207,2.0,8936,RED CURB,93.0,99999.0,99999.0
865,986023,1112234126,2016-06-04T00:00:00,1605.0,,,CA,201608.0,,MAZD,PA,BR,96TH ST/JENNY AVE/C,2A207,2.0,8936,RED CURB,93.0,99999.0,99999.0
866,986027,1112234163,2016-06-04T00:00:00,1616.0,,,CA,201704.0,,NISS,PA,BR,96TH ST/JENNY AVE/C,2A207,2.0,8936,RED CURB,93.0,99999.0,99999.0
867,986165,1114139821,2016-06-06T00:00:00,832.0,,,CA,201612.0,,FORD,PA,BR,5624 LEMON GROVE,00443,54.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
868,986236,1116124251,2016-05-31T00:00:00,2230.0,,,CA,,,CHEV,PA,BR,VISTA DEL MAR/IMPERI,14FB1,1.0,8069B,NO PARKING,73.0,99999.0,99999.0
869,994398,1110102685,2016-06-03T00:00:00,2245.0,,,CA,201703.0,,TOYO,PA,BR,4730 CRYSTAL SPRINGS,,36.0,8603,PK IN PROH AREA,68.0,6476114.7,1872692.3
870,994436,1110105603,2016-06-03T00:00:00,1435.0,,,CA,201601.0,,HYUN,PA,BR,5333 ZOO DR,,1.0,4000A1,NO EVIDENCE OF REG,50.0,6475382.5,1876992.1
